Source,Target
SCP-2012,SCP-972
SCP-2012,SCP-4761
SCP-2028,SCP-1498
SCP-2030,SCP-1459
SCP-2050,SCP-2625
SCP-2050,SCP-2006
SCP-2050,SCP-2012
SCP-2050,SCP-5975
SCP-2050,SCP-2301
SCP-2050,SCP-2775
SCP-2050,SCP-2599
SCP-2050,SCP-2896
SCP-2050,SCP-2201
SCP-2050,SCP-2950
SCP-2050,SCP-3200
SCP-2050,SCP-2800
SCP-2050,SCP-2499
SCP-2050,SCP-5725
SCP-2050,SCP-2925
SCP-2050,SCP-2101
SCP-2050,SCP-2440
SCP-2050,SCP-1644
SCP-2050,SCP-4007
SCP-2050,SCP-1758
SCP-2050,SCP-1842
SCP-2050,SCP-2750
SCP-2050,SCP-1557
SCP-2050,SCP-2588
SCP-2050,SCP-972
SCP-2050,SCP-4761
SCP-2060,SCP-4670
SCP-2060,SCP-4780
SCP-2060,SCP-1750
SCP-2060,SCP-2210
SCP-2060,SCP-2664
SCP-2060,SCP-3640
SCP-2060,SCP-2790
SCP-2060,SCP-947
SCP-2060,SCP-2680
SCP-2060,SCP-2570
SCP-2060,SCP-3360
SCP-2060,SCP-3850
SCP-2060,SCP-2143
SCP-2060,SCP-2820
SCP-2060,SCP-2490
SCP-2060,SCP-2650
SCP-2060,SCP-150
SCP-2060,SCP-3220
SCP-2060,SCP-4220
SCP-2060,SCP-4710
SCP-2060,SCP-3470
SCP-2060,SCP-3780
SCP-2060,SCP-2730
SCP-2060,SCP-2810
SCP-2060,SCP-5430
SCP-2060,SCP-2910
SCP-2060,SCP-2350
SCP-2060,SCP-3000
SCP-2060,SCP-5940
SCP-2082,SCP-646
SCP-2082,SCP-649
SCP-2090,SCP-3625
SCP-2090,SCP-1781
SCP-2090,SCP-5935
SCP-2090,SCP-5740
SCP-2090,SCP-3693
SCP-2090,SCP-2271
SCP-2090,SCP-2740
SCP-2090,SCP-2875
SCP-2090,SCP-2576
SCP-2090,SCP-4489
SCP-2090,SCP-4935
SCP-2090,SCP-2996
SCP-2101,SCP-2625
SCP-2101,SCP-2006
SCP-2101,SCP-2012
SCP-2101,SCP-5975
SCP-2101,SCP-2301
SCP-2101,SCP-2775
SCP-2101,SCP-2599
SCP-2101,SCP-2896
SCP-2101,SCP-2201
SCP-2101,SCP-2950
SCP-2101,SCP-2050
SCP-2101,SCP-3200
SCP-2101,SCP-2800
SCP-2101,SCP-2499
SCP-2101,SCP-5725
SCP-2101,SCP-2925
SCP-2101,SCP-2440
SCP-2101,SCP-1644
SCP-2101,SCP-4007
SCP-2101,SCP-1758
SCP-2101,SCP-1842
SCP-2101,SCP-2750
SCP-2101,SCP-2588
SCP-2101,SCP-972
SCP-2101,SCP-4761
SCP-2120,SCP-1730
SCP-2120,SCP-4840
SCP-2120,SCP-5740
SCP-2120,SCP-4654
SCP-2120,SCP-3935
SCP-2120,SCP-5004
SCP-2120,SCP-2576
SCP-2120,SCP-4489
SCP-2120,SCP-3494
SCP-2120,SCP-4812
SCP-2120,SCP-2398
SCP-2120,SCP-1160
SCP-2120,SCP-2844
SCP-2126,SCP-2226
SCP-2126,SCP-4062
SCP-2126,SCP-2362
SCP-2126,SCP-3226
SCP-2140,SCP-140
SCP-2143,SCP-4670
SCP-2143,SCP-4780
SCP-2143,SCP-1750
SCP-2143,SCP-2210
SCP-2143,SCP-3640
SCP-2143,SCP-2790
SCP-2143,SCP-2664
SCP-2143,SCP-2060
SCP-2143,SCP-947
SCP-2143,SCP-2680
SCP-2143,SCP-2570
SCP-2143,SCP-3360
SCP-2143,SCP-3850
SCP-2143,SCP-2820
SCP-2143,SCP-2650
SCP-2143,SCP-150
SCP-2143,SCP-3220
SCP-2143,SCP-4220
SCP-2143,SCP-4710
SCP-2143,SCP-3470
SCP-2143,SCP-3780
SCP-2143,SCP-2730
SCP-2143,SCP-2810
SCP-2143,SCP-5430
SCP-2143,SCP-2910
